iter	Passed	Remaining
0	5	5016
1	7	3499
2	9	3036
3	11	2825
4	13	2755
5	16	2651
6	18	2693
7	21	2629
8	23	2561
9	25	2511
10	27	2466
11	29	2440
12	31	2415
13	33	2388
14	35	2361
15	37	2333
16	39	2310
17	42	2294
18	44	2276
19	46	2262
20	48	2248
21	50	2237
22	52	2222
23	54	2206
24	56	2190
25	58	2200
26	61	2211
27	64	2223
28	66	2210
29	68	2223
30	70	2209
31	72	2198
32	74	2185
33	76	2176
34	78	2167
35	80	2157
36	82	2148
37	84	2141
38	86	2132
39	88	2125
40	90	2120
41	93	2128
42	95	2121
43	97	2115
44	99	2110
45	102	2118
46	104	2109
47	105	2101
48	108	2097
49	110	2100
50	113	2107
51	115	2101
52	117	2098
53	120	2115
54	122	2109
55	125	2113
56	127	2116
57	129	2110
58	132	2106
59	134	2100
60	136	2094
61	138	2089
62	140	2096
63	143	2095
64	146	2100
65	148	2095
66	150	2095
67	153	2098
68	154	2085
69	156	2079
70	158	2075
71	160	2070
72	162	2067
73	164	2063
74	166	2059
75	168	2052
76	170	2046
77	172	2042
78	175	2043
79	177	2039
80	178	2027
81	180	2023
82	182	2020
83	184	2015
84	186	2010
85	188	2008
86	191	2005
87	193	2000
88	195	1996
89	197	1994
90	199	1991
91	201	1987
92	203	1983
93	205	1978
94	207	1976
95	210	1982
96	212	1982
97	215	1978
98	217	1976
99	218	1966
100	220	1963
101	222	1960
102	224	1956
103	226	1952
104	228	1948
105	230	1944
106	233	1951
107	235	1947
108	237	1943
109	239	1935
110	241	1936
111	243	1933
112	245	1929
113	247	1926
114	249	1923
115	251	1919
116	253	1915
117	255	1911
118	257	1909
119	259	1906
120	261	1902
121	263	1898
122	265	1895
123	267	1891
124	269	1888
125	271	1884
126	274	1885
127	276	1882
128	278	1883
129	280	1880
130	283	1880
131	285	1876
132	287	1873
133	289	1869
134	291	1870
135	293	1867
136	295	1864
137	297	1861
138	300	1858
139	302	1855
140	304	1852
141	306	1849
142	309	1857
143	311	1853
144	314	1854
145	316	1851
146	318	1848
147	320	1845
148	323	1846
149	325	1843
150	327	1839
151	329	1836
152	331	1833
153	333	1829
154	335	1826
155	337	1823
156	339	1820
157	341	1817
158	343	1814
159	345	1811
160	348	1815
161	350	1813
162	352	1810
163	354	1807
